(* LiveJournal data collected by Shirley Man from *)
(* http://www.livejournal.com/stats/stats.txt     *)
(* Number of new accounts on LiveJournal,         *)
(* day by day from 2000/1/1 to 2005/2/28          *)
(* Individual data are NOT labelled.              *)
data -            10
data -             4
data -            12
data -             5
data -             7
data -             8
data -             5
data -            15
data -            11
data -             3
data -             3
data -             2
data -             6
data -             2
data -             9
data -             6
data -             6
data -             3
data -             9
data -             7
data -             7
data -            13
data -             7
data -            11
data -             6
data -            12
data -            14
data -             4
data -            15
data -             9
data -            12
data -             6
data -            11
data -             9
data -             8
data -             6
data -             9
data -             7
data -            10
data -             5
data -             9
data -            12
data -             3
data -             6
data -             5
data -            13
data -             8
data -             5
data -             9
data -            12
data -             6
data -             7
data -             8
data -            12
data -             6
data -             7
data -             9
data -            12
data -             9
data -            11
data -             8
data -             8
data -             3
data -             9
data -            13
data -            13
data -             8
data -             5
data -            13
data -             5
data -            13
data -            10
data -            10
data -            10
data -             7
data -            13
data -            37
data -             8
data -             9
data -             8
data -             6
data -            12
data -             7
data -             8
data -             8
data -             8
data -             7
data -             4
data -             2
data -            12
data -            15
data -            10
data -             9
data -            23
data -            13
data -            14
data -            24
data -            13
data -            10
data -             9
data -            15
data -            25
data -            24
data -            23
data -            16
data -            12
data -            12
data -            12
data -            24
data -            14
data -             9
data -            18
data -            18
data -            19
data -            27
data -            27
data -            39
data -            46
data -            46
data -            30
data -            26
data -            69
data -            72
data -            47
data -            61
data -            32
data -            34
data -            38
data -            89
data -            57
data -            71
data -            63
data -            60
data -            31
data -            45
data -            38
data -            45
data -            53
data -            46
data -            64
data -            47
data -            40
data -            65
data -            59
data -            65
data -            62
data -            59
data -            39
data -            73
data -            82
data -            65
data -            95
data -            75
data -            74
data -            54
data -            60
data -            78
data -            68
data -            83
data -            89
data -            59
data -            76
data -            82
data -           104
data -            92
data -            74
data -            91
data -            80
data -            80
data -            82
data -            90
data -            76
data -            86
data -            78
data -            67
data -            60
data -            76
data -            62
data -            76
data -            85
data -            79
data -            72
data -            72
data -            85
data -            77
data -            62
data -            78
data -            69
data -            78
data -            83
data -            96
data -            90
data -           100
data -            88
data -            98
data -            94
data -            82
data -            87
data -           111
data -           126
data -           118
data -           120
data -           101
data -            73
data -            79
data -           110
data -            87
data -            97
data -            95
data -            98
data -            78
data -           119
data -           111
data -           113
data -           144
data -           109
data -           108
data -            87
data -           133
data -           109
data -            96
data -           112
data -           139
data -           108
data -            92
data -           129
data -           151
data -           176
data -           127
data -           132
data -           129
data -           115
data -           132
data -           152
data -           147
data -           144
data -           145
data -           119
data -           113
data -           115
data -           134
data -           130
data -           130
data -           136
data -           152
data -           133
data -           141
data -           149
data -           157
data -           157
data -           141
data -           109
data -           137
data -           159
data -           184
data -           172
data -           158
data -           122
data -           131
data -           130
data -           154
data -           144
data -           177
data -           147
data -           130
data -           122
data -           129
data -           121
data -           101
data -           113
data -           132
data -           136
data -           113
data -           112
data -           145
data -           152
data -           156
data -           151
data -           161
data -           138
data -           108
data -           165
data -           192
data -           197
data -           191
data -           181
data -           158
data -           148
data -           202
data -           182
data -           188
data -           185
data -           164
data -           161
data -           177
data -           188
data -           208
data -           194
data -           179
data -           162
data -           137
data -           147
data -           181
data -           180
data -           146
data -           180
data -           178
data -           135
data -           166
data -           200
data -           183
data -           148
data -           177
data -           164
data -           197
data -           272
data -           302
data -           259
data -           276
data -           274
data -           254
data -           235
data -           201
data -           258
data -           253
data -           249
data -           228
data -           222
data -           198
data -           217
data -           287
data -           241
data -           252
data -           243
data -           274
data -           228
data -           210
data -           262
data -           287
data -           312
data -           287
data -           261
data -           264
data -           266
data -           273
data -           288
data -           250
data -           252
data -           280
data -           248
data -           313
data -           314
data -           291
data -           313
data -           372
data -           268
data -           286
data -           287
data -           241
data -           219
data -           157
data -           259
data -           244
data -           271
data -           309
data -           269
data -           382
data -           334
data -           254
data -           197
data -            21
data -           446
data -           257
data -           285
data -           322
data -           370
data -           353
data -           348
data -           419
data -           431
data -           446
data -           433
data -           440
data -           412
data -           390
data -           446
data -           533
data -           496
data -           470
data -           460
data -           517
data -           464
data -           467
data -           484
data -           539
data -           530
data -           509
data -           523
data -           457
data -           464
data -           460
data -           539
data -           546
data -           538
data -           478
data -           521
data -           463
data -           601
data -           504
data -           499
data -           436
data -           517
data -           476
data -           434
data -           558
data -           628
data -           603
data -           636
data -           640
data -           539
data -           553
data -           603
data -           675
data -           696
data -           635
data -           575
data -           537
data -           562
data -           678
data -           704
data -           701
data -           651
data -           612
data -           585
data -           548
data -           657
data -           678
data -           745
data -           721
data -           702
data -           590
data -           680
data -           758
data -           803
data -           678
data -           835
