(* Sunspot data collected by Robin McQuinn from *)
(* http://sidc.oma.be/html/sunspot.html         *)



data -            58
data -            63
data -            70
data -            56
data -            85
data -            84
data -            95
data -            66
data -            76
data -            76
data -           159
data -            85
data -            73
data -            76
data -            89
data -            88
data -            90
data -           100
data -            85
data -           103
data -            91
data -            66
data -            63
data -            75
data -            70
data -            44
data -            45
data -            56
data -            61
data -            51
data -            66
data -            60
data -            24
data -            23
data -            29
data -            44
data -            35
data -            50
data -            71
data -            59
data -            60
data -            40
data -            78
data -            29
data -            27
data -            47
data -            38
data -            40
data -            44
data -            32
data -            46
data -            38
data -            36
data -            32
data -            22
data -            39
data -            28
data -            25
data -            20
data -             7
data -             0
data -             3
data -             2
data -            14
data -            21
data -            27
data -            19
data -            12
data -             8
data -            24
data -            13
data -             4
data -            10
data -            11
data -             7
data -             7
data -             0
data -             0
data -             9
data -             3
data -            18
data -            24
data -             7
data -            20
data -            13
data -             7
data -             5
data -             9
data -            13
data -            13
data -             4
data -             6
data -            12
data -            14
data -            17
data -             9
data -            14
data -            21
data -            26
data -            30
data -            38
data -            13
data -            25
data -            51
data -            40
data -            33
data -            65
data -            34
data -            38
data -            52
data -            49
data -            72
data -            46
data -            45
data -            44
data -            39
data -            63
data -            38
data -            43
data -            43
data -            48
data -            44
data -            47
data -            47
data -            49
data -            50
data -            51
data -            71
data -            77
data -            60
data -            46
data -            57
data -            67
data -            60
data -            75
data -            58
data -            72
data -            48
data -            66
data -            76
data -            61
data -            51
data -            60
data -            61
data -            70
data -            91
data -            81
data -            72
data -           107
data -            99
data -            94
data -            91
data -           101
data -            89
data -            90
data -            46
data -            44
data -            73
data -            46
data -            60
data -            40
data -            77
data -            34
data -            68
data -            69
data -            69
data -            78
data -            77
data -            57
data -            32
data -            34
data -            33
data -            33
data -            36
data -            54
data -            27
data -            68
data -            46
data -            61
data -            61
data -            60
data -            60
data -            40
data -            34
data -            44
data -            30
data -            30
data -            30
data -            28
data -            28
data -            26
data -            26
data -            24
data -            26
data -            25
data -            22
data -            20
data -            20
data -            27
data -            30
data -            16
data -            14
data -            14
data -            13
data -            12
data -            11
data -            37
data -             6
data -            27
data -             3
data -             3
data -             4
data -             4
data -             5
data -             6
data -            19
data -            27
data -            30
data -            43
data -            33
data -            30
data -            33
data -            22
data -            41
data -            43
data -            44
data -            55
data -            53
data -            54
data -            66
data -            46
data -            43
data -            78
data -            77
data -            53
data -            67
data -            75
data -            78
data -            91
data -           112
data -            74
data -            64
data -            64
data -            97
data -            74
data -            94
data -           119
data -           120
data -           149
data -           158
data -           148
data -           112
data -           104
data -           143
data -            80
data -            51
data -            70
data -            83
data -           110
data -           126
data -           104
data -           104
data -           132
data -           102
data -            36
data -            46
data -            47
data -            65
data -           153
data -           120
data -            68
data -            59
data -           101
data -            90
data -           100
data -            96
data -           101
data -            91
data -            31
data -            92
data -            38
data -            57
data -            77
data -            56
data -            51
data -            79
data -            61
data -            64
data -            55
data -            29
data -            51
data -            33
data -            41
data -            28
data -            28
data -            13
data -            29
data -            26
data -            41
data -            43
data -            47
data -            65
data -            56
data -            44
data -            51
data -            29
data -            18
data -             7
data -             8
data -            14
data -            18
data -            12
